item_no,barcode,name,comp_nm
55971,8809093129344,엄마사랑)가마솥누룽지,엄마사랑
55972,8804058101021,태광푸드)다섯가지곡식으로알찬오곡누룽지,태광푸드
55973,8803451000009,제이식품)쌀눈현미누룽지,제이식품
55977,8807354217502,선명농수산대소지점)4가지채소를담은리얼칩믹스,선명농수산대소지점
55994,8008714001216,티디에프코리아)아미카알프레도트러플감자칩,티디에프코리아
56010,8809093129269,엄마사랑)건강한리얼너프바브라질넛,엄마사랑
56028,8809734720084,에이플러스)초이스엘CHOICEL바삭바삭한스낵연어&새우,에이플러스
56042,8801037089059,동서식품)마일드스위트오레오초콜릿샌드위치쿠키,동서식품
60090,8801111186209,크라운초코하임47G,크라운제과
60097,8886467114618,농심프링글스핫앤스파이시53G,농심
60101,8804973304828,이클립스스피어민트향34G,기타
60102,8801062883561,롯데)비타C박스17G,롯데제과
60105,5410126486438,로투스비스킷6*2P,한국로투스
60125,8801117339302,오리온)왕꿈틀이67G,오리온
60126,8801117339708,오리온마이구미1P66G,오리온
60127,8801117346300,오리온)마이구미딸기66G,오리온
60128,8801062013463,롯데)스카치커피157G,롯데칠성음료
60129,8809571510558,아리랑후드)계피맛캔디110G,아리랑후드
60130,8801037088243,동서오레오딸기크림100G,동서식품
60131,8886467102417,프링글스마요치즈맛110G,농심
60132,8886467109195,농심)프링글스할라피뇨110G,농심
60145,8801111186766,크라운마이쮸복숭아(용기)110G,크라운제과
60146,8801111180955,크라운마이쮸사과(용기)110G,크라운제과
60147,8801117277109,오리온닥터유다이제194G,오리온
60157,8801111614382,크라운치즈샌드60G,크라운제과
60174,8801117550813,오리온참붕어빵348G,오리온
60175,8801204307115,청우블루베리캔디100G,청우
60183,4800029902035,멜로머쉬멜로우멜로우트위스트135G,서광아이에스씨
60187,6943545500014,광동백성)아폴로36G,광동백성
60196,8801117434403,오리온 마켓오 초코크래커,오리온
60197,8801206002100,서주아이스주젤리,서주
60208,8681042330045,투데일러쉬코코아크림쿠키오리지널,투데이
60282,9555727907060,심플러스 오리지날 감자칩 치즈,홈플러스
60283,9555727906063,심플러스 오리지날 감자칩 110G,홈플러스
60284,9555727906155,심플러스 오리지날 감자칩 샤워크림 & 어니언향,홈플러스
65026,8801062632251,길리안시쉘125G-1120입고,롯데제과
65028,8801117283308,오리온 쿠쉬쿠쉬크루아상맛 196G,오리온
65029,8801117548414,오리온 오뜨쇼콜라300G,오리온
65030,8801111907705,크라운 그레이스(298G),크라운제과
65031,8801117548612,오리온 오뜨치즈288G,오리온
65032,8801111183840,크라운베이키170G,크라운제과
65033,8801117561512,오리온초코파이바나나444G,오리온
65034,8801117283001,오리온 고소미 12P 216G,오리온
65035,8801111186124,크라운 쿠크다스 화이트 288G,크라운제과
65036,8801204204452,청우브루느와브라우니쿠키,청우
65037,8809256677347,미성패밀리허쉬초콜릿칩쿠키,미성패밀리
65038,8809256676838,미성패밀리허쉬초코크림샌드위치쿠키,미성패밀리
65039,8801117123802,마켓오오!그래놀라바검은콩,마켓오오
65042,,오리온다이제샌드밀크크림,오리온
65047,8801117109202,오리온초초칩쿠키미니,오리온
65048,8801725000601,서주딸기웨하스,서주
65049,8801725000595,서주밀크웨하스,서주
65050,8801037088229,동서초콜릿크림오레오,동서식품
65052,8710502060021,천하코퍼레이션소프트머핀쿠키,천하코퍼레이션
65054,8809539867601,리뉴얼라이프 바나나에 퐁당 현미퍼프 20G,리뉴얼라
65055,8809539867588,리뉴얼라이프 감귤에 퐁당 현미퍼프 20G,리뉴얼라
65056,8809409250366,내아이애 떡뻥 비트 쌀과자 30G,내아이애
65057,8809405290342,퓨어잇 떡뻥 당근 쌀과자 30G,퓨어잇
65058,8809405290427,퓨어잇 동결건조 사과칩 12G,퓨어잇
65060,8801157552846,후디스 아이밀 냠냠 유기농 쌀과자 퍼핑도넛보라40G,후디스
65061,8801157552839,후디스 아이밀 냠냠 유기농 쌀과자 퍼핑도넛주황40G,후디스
65079,8809617944927,길림양행청양마요아몬드210G,길림양행
65080,8809617943494,길림양행인절미아몬드190G,길림양행
65081,880101377065,열매마을호두130G,열매마을
65104,,길림양행토피넛라떼아몬드,길림양행
65114,,제이디코리아곰곰유기농쌀고구마떡빵,제이디코리아
65115,,제이디코리아곰곰유기농쌀백미떡뻥,제이디코리아
65117,8809472970505,리뉴얼라이프레인보우소프트바베지,리뉴얼라
65191,8801019307256,해태아이비,해태
65199,8886467117053,켈로그프링글스찹스테이크,농심켈로그
65200,8886467115899,켈로그프링글스크리미쉬림프,농심켈로그
65208,8801157553430,일동후디스키요두부와프감자,일동후디스
65276,8801157553805,후디스키요단백질웨하스카카오,후디스
65277,8801157553812,후디스키요단백질웨하스딸기,후디스
65457,8801019313943,해태에이스(10개입),해태
65469,8809478913322,매홍부드러운쫄깃함고구마스틱,매홍부드
65470,8801019207402,해태얼초집만들기,해태
65476,5900951251795,한국마즈트윅스탑(10개입),한국마즈
65477,8801019309182,해태사루비아,해태
65478,8801117124007,마켓오오!그래놀라바무화과베리4개,마켓오오
65479,8852756305128,켈로그초코펀오리지날바4개입,농심켈로그
65480,8804433102100,홈플러스넛츠바4개입,홈플러스
65484,8809093126237,엄마사랑오븐에구운넛트크런치,엄마사랑
65485,6917878012728,네슬레코리아새콤달콤과즙젤리프루팁스,네슬레코리아
65486,8809415434217,네슬레코리아새콤달콤과즙젤리프루팁스리치맛,네슬레코리아
65487,8809415431803,네슬레코리아새콤달콤과즙젤리프루팁스트로피칼믹스,네슬레코리아
65488,8801244316429,홈플러스소프트초콜릿제주말차,홈플러스
65546,4902888971389,하이츄사우어레몬맛,하이츄
65619,88010204204407,청우쫀득쫀득초코파이찰떡10개입,청우식품
65620,8801062888146,롯데제과허쉬리치초콜릿케이크6봉입,롯데제과
65621,8801117556112,마켓오리얼브라우니말차12개입,마켓오리
65622,8801204101744,청우마렝고14개입,청우
65623,8801111919715,크라운옹골진오곡쿠키24봉입,크라운제과
65624,8809234902355,훼미리인터내셔날빅롤그릴드씨위드롤9개입,훼미리인터내셔날
65625,3178530403022,매크로통상본마망초코&카라멜타르트9개입,매크로통
65627,8801169071595,한국에스비식품유기농누룽지5개입,한국에스비식품
